kriol,english
"wal bambai wen im sabi tharran, wal im garra bringimap det nenigout nomo garram enijing rong langa im.","if his sin which he has sinned is made known to him, then he shall bring for his offering a goat, a female without defect, for his sin which he has sinned."
"if yubin gibit im waif, en det gel bin abum biginini blanga im, wal det gel en detlot biginini olabat blanga yu, en det wekinmen garra gowei miselp.","If his master gives him a wife and she bears him sons or daughters, the wife and her children shall be her master's, and he shall go out by himself."
"en afta melabat garra jidan redi blanga go garram melabat kantrimen mob, blanga fait, en blanga lidim olabat blanga fait, raidap olabat garra jidan langa det kantri dei garra abum. seimtaim melabat femilimob gin jidan gudwei iya langa dislot taun, seifwan brom detlot najalot pipul hu jidan langa dijan kantri.","but we ourselves will be ready armed to go before the children of Israel, until we have brought them to their place. Our little ones shall dwell in the fortified cities because of the inhabitants of the land."
"""wal wen det taim garra kaman, sambala pipul garra tok, 'yu luk! deya det boswan dei gulum krais!' en sambala pipul garra tok, 'iya na det boswan gulum masaiya! yu luk!'","""Then if any man tells you, 'Behold, here is the Christ!' or, 'There!' don't believe it."
"wal ai nomo bin luk eni serramoni pleis langa det taun, dumaji jisas krais en det brabli haibala god, dubala na det serramoni pleis.","I saw no temple in it, for the Lord God the Almighty and the Lamb are its temple."
"wal yawei bin tok, ""main ronwan pipul olabat brabli medwan. dei nomo sabi mi, najing. dei jis laik detlot granggibala biginini. dei nomo sabi enijing du, najing. olabat gin dumbat eni nogudbala ting, bat olabat kaan dum eni gudbala ting."" lagijat na yawei bin tok.","""For my people are foolish. They don't know me. They are foolish children, and they have no understanding. They are skillful in doing evil, but they don't know how to do good."""
"wal aibin libum yu deya langa det kantri gulum krit blanga binijim detlot ting deya weya ai nomo bin dum, en yu garra go langa ebri taun en pikimat sambala lida blanga lukaftumbat olabat tjetj.","I left you in Crete for this reason, that you would set in order the things that were lacking and appoint elders in every city, as I directed you—"
"bat det king kaan lisin langa yunbala, dumaji ai garra meigim im brabli admen. nomeda ai garra dum olkain klebabala ting langa det kantri, bat stil det king kaan lisin langa yunbala,","I will harden Pharaoh's heart, and multiply my signs and my wonders in the land of Egypt."
"en det serramonimen garra werrimon ol detlot speshalwan klos deibin meigim brom det gudwan matiriyal, en im garra deigimat det grisiwan eshis brom det teibul blanga ofring, en pudum detlot eshis wansaid langa det teibul.","The priest shall put on his linen garment, and he shall put on his linen trousers upon his body; and he shall remove the ashes from where the fire has consumed the burnt offering on the altar, and he shall put them beside the altar."
"en im gajim naja sebenbala spirit mowa nogudwan, en dei ol kaman en jidan langa det seimwan pleis, en wen dei kaman en jidan langa det pleis, det sambodi im brabli nogudwan na, nomo laik bifo wen imbin abum oni det wanbala nogudwan spirit insaid langa im. wal ai dalim yumob. diskain ting garra hepin langa nogudbala pipul tudei."" lagijat na jisas bin tok langa detlot lowamen en serramonimen.","Then he goes and takes with himself seven other spirits more evil than he is, and they enter in and dwell there. The last state of that man becomes worse than the first. Even so will it be also to this evil generation."""
"det seimwan ting garra hepin langa bebalon weya bin hepin langa sadam en gamora, wen aibin binijimap olabat, en detlot lilwan taun raidaran deya. nobodi kaan neba jidan deya igin. mi na, yawei bin tok dijan.""","As when God overthrew Sodom and Gomorrah and its neighbor cities,"" says Yahweh, ""so no man will dwell there, neither will any son of man live therein."
"afta na joshuwa bin deigim 5,000 solja, en imbin go en blandim olabat sangodansaid rait langa midul langa det dubala taun gulum eiyai en bethel.","He took about five thousand men, and set them in ambush between Bethel and Ai, on the west side of the city."
"imbin kilim ded ola buligi blanga olabat garram heilston, en ola ship blanga olabat garram laitining.","He also gave over their livestock to the hail, and their flocks to hot thunderbolts."
