English,Kriol
abandon,libum
ability,gudwei
able,gudbala
about,abat
above,abuf
abroad,longwei kantri
absence,nogudwei
absent,nogudwei
accept,teik
accident,aksiden
accompany,go wit
according to,abat
account,kaun
accuse,bleim
ache,eik
across,akros
act,plei
action,gudwok
active,laibliwan
actor,pleimen
actual,prapawan
add,putumap
address,adres
adult,olman
advance,goap
advantage,gudtaim
advice,advais
advise,advaijim
affair,trabata
afraid,frait
after,bamba
afternoon,gabadi taem
afterwards,bambai
again,wanmo igin
against,la
age,ol
agent,pleimen
ago,taim bifo
agree,gudbinji
ahead,frant
aim,teikaim
air,win
airplane,bastimap klaud
alarm,alaam
alcohol,grog
alive,laibwan
all,ol
all day,oldei
all right,orait
allow,alawim
almost,nili
alone,wanwan
along,wokaran
already,oredi
also,an
although,nomada
always,olataim
am,ai
amaze,gidsok
ambush,tapum
among,namanga
amount,lat
amputate,katam
ancestor,olman
ancient,olindais
and,an
anger,grum
angry,grumwan
animal,animol
announce,kolum
annoy,hambag
another,natha
answer,enser
ant,redant
ant hill,waitant hil
anxious,wori
any,eni
anybody,enibodi
anymore,nomo
anyone,enibodi
anything,eniting
anyway,eniwei
anywhere,eniweya
apart,katam
apologise,sori
appear,kamap
apple,epul
appoint,mekimap
appointment,pleisdei
approach,kamap
appropriate,gudbala
apricot,aprikot
apron,epron
area,kantri
argue,agyumen
argument,agyumen
arise,gamap
arm,am
armed,ganman
army,soljamob
around,raun
arrive,kamap
arrow,sot
art,pitja
ash,dash
ashes,dash
ask,askim
asleep,silip
at,la
attack,fait
attempt,traim
attend,goin
attention,lisin
aunt,mami
Australia,Ostrelya
Australians,Ostrelyan
authority,gabman
automatic,ota
available,gudtaim
avoid,taikraun
awake,weigap
aware,lisin
away,gowei
awful,nogud
awkward,slekwan
baby,biginini
"baby, little",lilbiginini
back,bek
backbone,bekbon
backwards,bekwei
bacon,beikon
bad,nogud
bad smell,nogudsmel
badly,nogudwei
bag,beg
bail water,bailimwoda
bait,bait
bake,bikim
baker,bikiman
bald,plein
ball,bol
ball game,bolplei
banana,binana
"banana, wild",wail binana
bandage,bandij
bang,beng
bank (money),bank
bank (river),beingk
bar,ba
barbecue,bbq
bark (tree),wudskin
bark off tree,wudskinim
bark up,wudskinimap
barramundi,balamundi
basket,baskit
bat (animal),bat
bat (play),bat
bath,bogi
bathe,bogi
battery,batri
battle,fait
be,bin
be alive,laibwan
be angry,grum
be born,kamap
be careful,lukaut
be frightened,frait
be happy,gudbinji
be hungry,hanggri
be sick,sik
be still,stilwan
be surprised,gidsok
be thirsty,thesti
be tired,wik
be well,elti
be wounded,wundidwan
beach,sengraun
bead,bid
beam,lait
bean,bin
bear,tedibeya
beat,banjim
beautiful,burdi
because,gobat
become,kamap
bed,bed
bee,jugabeg flai
beef,buligi mit
beer,bia
before,bifo
beg,beg
begin,stat
behind,biyain
believe,bilib
bell,bel
belly,beli
belong,bla
below,andanith
belt,belt
bend,bendim
berry,bololo
beside,said
best,nambawan
bet,gamblim
better,mobeta
between,namanga
beyond,beyon
bicycle,baisikil
big,big
bigger,mobig
biggest,nambawan big
billabong,bilibong
bird,be:di
birth,kamap
birthday,kamapdei
biscuit,biskit
bite,baidim
bitter,bida
black,blek
black person,Aborijinal
blackberry,kumirr
blanket,blanket
bleed,blad kamat
bless,belesim
blind,blaindwan
blink,blink
block,blok
blood,blad
blood brother,bladbala
blood relation,bladbala
blow,bloim
blue,blu
blue tongue lizard,bludang
board,boad
boat,bot
body,bodi
boil,boilim
bone,bun
book,buk
boom,beng
boomerang,bumarang
boot,but
border,laing
borrow,borowim
boss,bos
both,dubala
bottle,botol
bottom,botom
bounce,baunsim
boundary,laing
bow,bai
bow (weapon),spiya
bowl,bol
box,boks
boy,boi
"boy, young",yangboi
boyfriend,barnana
brain,gabarra
branch,bran
brand,brend
bread,bred
break,breikim
breakfast,brekfist
breast,bibi
breath,breth
breathe,brethim
brick,brik
bridge,brij
bright,laitwan
bring,bringim
bring back,bringimbek
broad,waid
broken,brokum
brother,bratha
brother-in-law,banjimen
brown,braun
brush,brashim
brushwood,bush stik
